red_fighter_name,blue_fighter_name,winner,winner_encoded
Yana Santos,Chelsea Chandler,Red,1
Toshiomi Kazama,Charalampos Grigoriou,Red,1
Karol Rosa,Pannie Kianzad,Red,1
Jhonata Diniz,Karl Williams,Red,1
Youssef Zalal,Jarno Errens,Red,1
Stephanie Luciano,Talita Alencar,Red,1
Cory Sandhagen,Umar Nurmagomedov,Blue,0
Shara Magomedov,Michal Oleksiejczuk,Red,1
Marlon Vera,Deiveson Figueiredo,Blue,0
Tony Ferguson,Michael Chiesa,Blue,0
Mackenzie Dern,Loopy Godinez,Red,1
Joel Alvarez,Elves Brener,Red,1
Azamat Murzakanov,Alonzo Menifield,Red,1
Mohammad Yahya,Kaue Fernandes,Blue,0
Shamil Gaziev,Don'Tale Mayes,Red,1
Guram Kutateladze,Jordan Vucenic,Red,1
Viktoriia Dudakova,Sam Hughes,Blue,0
Jai Herbert,Rolando Bedoya,Red,1
Sedriques Dumas,Denis Tiuliulin,Red,1
Leon Edwards,Belal Muhammad,Blue,0
Tom Aspinall,Curtis Blaydes,Red,1
King Green,Paddy Pimblett,Blue,0
Christian Leroy Duncan,Gregory Rodrigues,Blue,0
Arnold Allen,Giga Chikadze,Red,1
Nathaniel Wood,Daniel Pineda,Red,1
Molly McCann,Bruna Brasil,Blue,0
Jake Hadley,Caolan Loughran,Red,1
Muhammad Mokaev,Manel Kape,Red,1
Oban Elliott,Preston Parsons,Red,1
Modestas Bukauskas,Marcin Prachnio,Red,1
Sam Patterson,Kiefer Crosbie,Red,1
Mick Parkin,Lukasz Brzeski,Red,1
Shauna Bannon,Alice Ardelean,Red,1
Amanda Lemos,Virna Jandiroba,Blue,0
Steve Garcia,SeungWoo Choi,Red,1
Kurt Holobaugh,Kaynan Kruschewsky,Red,1
Cody Durden,Bruno Silva,Blue,0
Dooho Choi,Bill Algeo,Red,1
JeongYeong Lee,Hyder Amil,Blue,0
Brian Kelleher,Cody Gibson,Blue,0
Miranda Maverick,Dione Barbosa,Red,1
Loik Radzhabov,Trey Ogden,Blue,0
Luana Carolina,Lucie Pudilova,Red,1
Mohammed Usman,Thomas Petersen,Blue,0
Rose Namajunas,Tracy Cortez,Red,1
Santiago Ponzinibbio,Muslim Salikhov,Blue,0
Drew Dober,Jean Silva,Blue,0
Gabriel Bonfim,Ange Loosa,Red,1
Julian Erosa,Christian Rodriguez,Red,1
Joshua Van,Charles Johnson,Blue,0
Jasmine Jasudavicius,Fatima Kline,Red,1
Montel Jackson,Da'Mon Blackshear,Red,1
Luana Santos,Mariya Agapova,Red,1
Josh Fremd,Andre Petroski,Blue,0
Evan Elder,Darrius Flowers,Red,1
Alex Pereira,Jiri Prochazka,Red,1
Dan Ige,Diego Lopes,Blue,0
Anthony Smith,Roman Dolidze,Blue,0
Mayra Bueno Silva,Macy Chiasson,Blue,0
Ian Machado Garry,Michael Page,Red,1
Joe Pyfer,Marc-Andre Barriault,Red,1
Cub Swanson,Andre Fili,Blue,0
Charles Jourdain,Jean Silva,Blue,0
Payton Talbott,Yanis Ghemmouri,Red,1
Michelle Waterson-Gomez,Gillian Robertson,Blue,0
Andrei Arlovski,Martin Buday,Blue,0
Rei Tsuruya,Carlos Hernandez,Red,1
Ricky Simon,Vinicius Oliveira,Blue,0
Robert Whittaker,Ikram Aliskerov,Red,1
Sergei Pavlovich,Alexander Volkov,Blue,0
